mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5375,	0.5695364238410596,	0.5530546623794212,	0.4136690647482014,	0.71875,	0.5251141552511415,	0.4186046511627907,	0.5046728971962616,	0.4576271186440678,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.45501730103806226,	0.5655913978494623,	0.50431447746884,	[True, False, False, True, False, True, False, True, False, True, True, True, False]
0.5316455696202531,	0.5562913907284768,	0.5436893203883494,	0.45267489711934156,	0.6875,	0.5459057071960298,	0.41739130434782606,	0.4485981308411215,	0.4324324324324324,	0.875,	0.14893617021276595,	0.25454545454545446,	0.4751908396946565,	0.535483870967742,	0.5035389282103134,	[True, False, True, True, False, True, False, False, True, True, False, False, False]
0.5316455696202531,	0.5562913907284768,	0.5436893203883494,	0.45267489711934156,	0.6875,	0.5459057071960298,	0.41739130434782606,	0.4485981308411215,	0.4324324324324324,	0.875,	0.14893617021276595,	0.25454545454545446,	0.4751908396946565,	0.535483870967742,	0.5035389282103134,	[True, False, True, True, False, True, False, True, True, True, False, False, False]
0.5328947368421053,	0.5364238410596026,	0.5346534653465347,	0.4160839160839161,	0.74375,	0.5336322869955157,	0.4642857142857143,	0.48598130841121495,	0.4748858447488585,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.45694200351493847,	0.5591397849462365,	0.5029013539651837,	[True, True, True, True, False, True, False, False, False, True, False, True, False]
0.5328947368421053,	0.5364238410596026,	0.5346534653465347,	0.4160839160839161,	0.74375,	0.5336322869955157,	0.4642857142857143,	0.48598130841121495,	0.4748858447488585,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.45694200351493847,	0.5591397849462365,	0.5029013539651837,	[True, True, True, True, False, True, False, True, False, True, False, True, False]
0.506578947368421,	0.5099337748344371,	0.5082508250825083,	0.4315068493150685,	0.7875,	0.5575221238938053,	0.43859649122807015,	0.4672897196261682,	0.4524886877828054,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.45694200351493847,	0.5591397849462365,	0.5029013539651837,	[True, True, True, True, False, True, False, False, True, True, True, True, False]
0.506578947368421,	0.5099337748344371,	0.5082508250825083,	0.4315068493150685,	0.7875,	0.5575221238938053,	0.43859649122807015,	0.4672897196261682,	0.4524886877828054,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.45694200351493847,	0.5591397849462365,	0.5029013539651837,	[True, True, True, True, False, True, False, True, True, True, True, True, False]
0.50920245398773,	0.5496688741721855,	0.5286624203821655,	0.4810126582278481,	0.7125,	0.5743073047858942,	0.3813559322033898,	0.4205607476635514,	0.39999999999999997,	0.875,	0.14893617021276595,	0.25454545454545446,	0.47338403041825095,	0.535483870967742,	0.5025227043390514,	[True, False, True, True, False, True, True, False, True, True, True, True, False]
0.50920245398773,	0.5496688741721855,	0.5286624203821655,	0.4810126582278481,	0.7125,	0.5743073047858942,	0.3813559322033898,	0.4205607476635514,	0.39999999999999997,	0.875,	0.14893617021276595,	0.25454545454545446,	0.47338403041825095,	0.535483870967742,	0.5025227043390514,	[True, False, True, True, False, True, True, True, True, True, True, True, False]
0.5,	0.5231788079470199,	0.511326860841424,	0.44363636363636366,	0.7625,	0.5609195402298851,	0.42105263157894735,	0.4485981308411215,	0.43438914027149317,	1.0,	0.14893617021276595,	0.25925925925925924,	0.4620938628158845,	0.5505376344086022,	0.5024533856722275,	[False, True, False, True, False, True, False, False, True, True, True, True, False]
