mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.3617021276595745,	0.33774834437086093,	0.3493150684931507,	0.38144329896907214,	0.4625,	0.4180790960451978,	0.29545454545454547,	0.24299065420560748,	0.26666666666666666,	0.6,	0.19148936170212766,	0.29032258064516125,	0.365296803652968,	0.34408602150537637,	0.3543743078626799,	[False, False, True, True, False, True, False, False]
0.3617021276595745,	0.33774834437086093,	0.3493150684931507,	0.38144329896907214,	0.4625,	0.4180790960451978,	0.29545454545454547,	0.24299065420560748,	0.26666666666666666,	0.6,	0.19148936170212766,	0.29032258064516125,	0.365296803652968,	0.34408602150537637,	0.3543743078626799,	[False, False, True, True, True, True, False, False]
0.33544303797468356,	0.3509933774834437,	0.34304207119741104,	0.3888888888888889,	0.4375,	0.411764705882353,	0.3561643835616438,	0.24299065420560748,	0.28888888888888886,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.3685446009389671,	0.33763440860215055,	0.35241301907968575,	[True, False, True, True, False, False, False, True]
0.33544303797468356,	0.3509933774834437,	0.34304207119741104,	0.3888888888888889,	0.4375,	0.411764705882353,	0.3561643835616438,	0.24299065420560748,	0.28888888888888886,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.3685446009389671,	0.33763440860215055,	0.35241301907968575,	[True, False, True, True, True, False, False, True]
0.33544303797468356,	0.3509933774834437,	0.34304207119741104,	0.3888888888888889,	0.4375,	0.411764705882353,	0.3561643835616438,	0.24299065420560748,	0.28888888888888886,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.3685446009389671,	0.33763440860215055,	0.35241301907968575,	[True, False, True, True, False, True, False, True]
0.33544303797468356,	0.3509933774834437,	0.34304207119741104,	0.3888888888888889,	0.4375,	0.411764705882353,	0.3561643835616438,	0.24299065420560748,	0.28888888888888886,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.3685446009389671,	0.33763440860215055,	0.35241301907968575,	[True, False, True, True, True, True, False, True]
0.36551724137931035,	0.3509933774834437,	0.3581081081081081,	0.37433155080213903,	0.4375,	0.4034582132564842,	0.2967032967032967,	0.2523364485981308,	0.27272727272727276,	0.5714285714285714,	0.1702127659574468,	0.2622950819672131,	0.36155606407322655,	0.33978494623655914,	0.35033259423503327,	[False, False, True, True, False, False, False, True]
0.36551724137931035,	0.3509933774834437,	0.3581081081081081,	0.37433155080213903,	0.4375,	0.4034582132564842,	0.2967032967032967,	0.2523364485981308,	0.27272727272727276,	0.5714285714285714,	0.1702127659574468,	0.2622950819672131,	0.36155606407322655,	0.33978494623655914,	0.35033259423503327,	[False, False, True, True, True, False, False, True]
0.36551724137931035,	0.3509933774834437,	0.3581081081081081,	0.37433155080213903,	0.4375,	0.4034582132564842,	0.2967032967032967,	0.2523364485981308,	0.27272727272727276,	0.5714285714285714,	0.1702127659574468,	0.2622950819672131,	0.36155606407322655,	0.33978494623655914,	0.35033259423503327,	[False, False, True, True, False, True, False, True]
0.36551724137931035,	0.3509933774834437,	0.3581081081081081,	0.37433155080213903,	0.4375,	0.4034582132564842,	0.2967032967032967,	0.2523364485981308,	0.27272727272727276,	0.5714285714285714,	0.1702127659574468,	0.2622950819672131,	0.36155606407322655,	0.33978494623655914,	0.35033259423503327,	[False, False, True, True, True, True, False, True]
0.2850678733031674,	0.41721854304635764,	0.3387096774193548,	0.3076923076923077,	0.425,	0.3569553805774278,	0.36,	0.3364485981308411,	0.3478260869565218,	0.36,	0.19148936170212766,	0.24999999999999994,	0.31040564373897706,	0.37849462365591396,	0.34108527131782945,	[True, False, False, True, False, False, False, False]
0.2850678733031674,	0.41721854304635764,	0.3387096774193548,	0.3076923076923077,	0.425,	0.3569553805774278,	0.36,	0.3364485981308411,	0.3478260869565218,	0.36,	0.19148936170212766,	0.24999999999999994,	0.31040564373897706,	0.37849462365591396,	0.34108527131782945,	[True, False, False, True, True, False, False, False]
0.2850678733031674,	0.41721854304635764,	0.3387096774193548,	0.3076923076923077,	0.425,	0.3569553805774278,	0.36,	0.3364485981308411,	0.3478260869565218,	0.36,	0.19148936170212766,	0.24999999999999994,	0.31040564373897706,	0.37849462365591396,	0.34108527131782945,	[True, False, False, True, False, True, False, False]
0.2850678733031674,	0.41721854304635764,	0.3387096774193548,	0.3076923076923077,	0.425,	0.3569553805774278,	0.36,	0.3364485981308411,	0.3478260869565218,	0.36,	0.19148936170212766,	0.24999999999999994,	0.31040564373897706,	0.37849462365591396,	0.34108527131782945,	[True, False, False, True, True, True, False, False]
0.33766233766233766,	0.3443708609271523,	0.34098360655737703,	0.35714285714285715,	0.4375,	0.3932584269662921,	0.25471698113207547,	0.2523364485981308,	0.2535211267605634,	0.7777777777777778,	0.14893617021276595,	0.25,	0.33548387096774196,	0.33548387096774196,	0.33548387096774196,	[True, False, True, True, False, False, True, False]
0.33766233766233766,	0.3443708609271523,	0.34098360655737703,	0.35714285714285715,	0.4375,	0.3932584269662921,	0.25471698113207547,	0.2523364485981308,	0.2535211267605634,	0.7777777777777778,	0.14893617021276595,	0.25,	0.33548387096774196,	0.33548387096774196,	0.33548387096774196,	[True, False, True, True, True, False, True, False]
0.33766233766233766,	0.3443708609271523,	0.34098360655737703,	0.35714285714285715,	0.4375,	0.3932584269662921,	0.25471698113207547,	0.2523364485981308,	0.2535211267605634,	0.7777777777777778,	0.14893617021276595,	0.25,	0.33548387096774196,	0.33548387096774196,	0.33548387096774196,	[True, False, True, True, False, True, True, False]
0.33766233766233766,	0.3443708609271523,	0.34098360655737703,	0.35714285714285715,	0.4375,	0.3932584269662921,	0.25471698113207547,	0.2523364485981308,	0.2535211267605634,	0.7777777777777778,	0.14893617021276595,	0.25,	0.33548387096774196,	0.33548387096774196,	0.33548387096774196,	[True, False, True, True, True, True, True, False]
