mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.6,	0.07947019867549669,	0.14035087719298248,	0.33766233766233766,	0.1625,	0.21940928270042198,	0.75,	0.028037383177570093,	0.05405405405405405,	0,	0.0,	0,	0.40594059405940597,	0.08817204301075268,	0.14487632508833923,	[False, True, False, False, True, True, False, True]
0.5925925925925926,	0.10596026490066225,	0.1797752808988764,	0.21875,	0.04375,	0.07291666666666666,	1.0,	0.037383177570093455,	0.07207207207207207,	0,	0.0,	0,	0.42857142857142855,	0.05806451612903226,	0.10227272727272728,	[True, True, False, False, True, True, False, True]
0.375,	0.11920529801324503,	0.18090452261306533,	0.1527777777777778,	0.06875,	0.09482758620689655,	0.4166666666666667,	0.04672897196261682,	0.08403361344537814,	0,	0.0,	0,	0.25757575757575757,	0.07311827956989247,	0.11390284757118929,	[False, False, True, False, True, True, False, True]
0.375,	0.09933774834437085,	0.1570680628272251,	0.21505376344086022,	0.125,	0.15810276679841895,	0.5,	0.056074766355140186,	0.10084033613445378,	0,	0.0,	0,	0.2827586206896552,	0.08817204301075268,	0.13442622950819672,	[True, False, True, False, True, True, False, True]
0.5531914893617021,	0.17218543046357615,	0.2626262626262626,	0.3,	0.16875,	0.21600000000000003,	0.5833333333333334,	0.06542056074766354,	0.1176470588235294,	0,	0.0,	0,	0.40268456375838924,	0.12903225806451613,	0.19543973941368076,	[False, True, True, False, True, True, False, True]
0.5476190476190477,	0.152317880794702,	0.2383419689119171,	0.2682926829268293,	0.1375,	0.18181818181818182,	0.375,	0.056074766355140186,	0.09756097560975609,	0.0,	0.0,	0,	0.3617021276595745,	0.10967741935483871,	0.16831683168316833,	[True, True, True, False, True, True, False, True]
0.43902439024390244,	0.23841059602649006,	0.30901287553648066,	0.4673913043478261,	0.26875,	0.3412698412698412,	0.5517241379310345,	0.14953271028037382,	0.2352941176470588,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4790697674418605,	0.221505376344086,	0.30294117647058827,	[False, False, False, True, True, True, False, True]
0.4367816091954023,	0.25165562913907286,	0.31932773109243695,	0.45555555555555555,	0.25625,	0.32799999999999996,	0.5862068965517241,	0.1588785046728972,	0.24999999999999997,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.47465437788018433,	0.221505376344086,	0.3020527859237537,	[True, False, False, True, True, True, False, True]
0.43529411764705883,	0.24503311258278146,	0.3135593220338983,	0.5,	0.3125,	0.38461538461538464,	0.5263157894736842,	0.18691588785046728,	0.27586206896551724,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.48936170212765956,	0.24731182795698925,	0.32857142857142857,	[False, True, False, True, True, True, False, True]
0.43283582089552236,	0.19205298013245034,	0.26605504587155965,	0.44285714285714284,	0.19375,	0.26956521739130435,	0.875,	0.1308411214953271,	0.2276422764227642,	0.8571428571428571,	0.1276595744680851,	0.2222222222222222,	0.5,	0.17204301075268819,	0.256,	[True, True, False, True, True, True, False, True]
0.49411764705882355,	0.2781456953642384,	0.3559322033898305,	0.47572815533980584,	0.30625,	0.3726235741444867,	0.5714285714285714,	0.22429906542056074,	0.3221476510067114,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.5041322314049587,	0.2623655913978495,	0.34512022630834516,	[False, False, True, True, True, True, False, True]
0.45,	0.23841059602649006,	0.3116883116883116,	0.46153846153846156,	0.3,	0.3636363636363637,	0.6451612903225806,	0.18691588785046728,	0.28985507246376807,	1.0,	0.14893617021276595,	0.25925925925925924,	0.5,	0.23870967741935484,	0.3231441048034934,	[True, False, True, True, True, True, False, True]
0.5168539325842697,	0.304635761589404,	0.3833333333333333,	0.5137614678899083,	0.35,	0.4163568773234201,	0.5641025641025641,	0.205607476635514,	0.3013698630136986,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5282258064516129,	0.2817204301075269,	0.36746143057503505,	[False, True, True, True, True, True, False, True]
0.525,	0.2781456953642384,	0.36363636363636365,	0.4716981132075472,	0.3125,	0.3759398496240602,	0.625,	0.18691588785046728,	0.28776978417266186,	0.7777777777777778,	0.14893617021276595,	0.25,	0.5242290748898678,	0.25591397849462366,	0.3439306358381503,	[True, True, True, True, True, True, False, True]
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[False, False, False, False, False, False, True, True]
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[True, False, False, False, False, False, True, True]
0.75,	0.039735099337748346,	0.07547169811320754,	0.3333333333333333,	0.0625,	0.10526315789473684,	1.0,	0.018691588785046728,	0.03669724770642201,	0,	0.0,	0,	0.45,	0.03870967741935484,	0.0712871287128713,	[False, True, False, False, False, False, True, True]
0.4444444444444444,	0.052980132450331126,	0.09467455621301776,	0.24444444444444444,	0.06875,	0.1073170731707317,	0.4,	0.018691588785046728,	0.03571428571428571,	0.0,	0.0,	0,	0.30434782608695654,	0.04516129032258064,	0.07865168539325841,	[True, True, False, False, False, False, True, True]
0.3,	0.019867549668874173,	0.03726708074534162,	0.11904761904761904,	0.03125,	0.04950495049504951,	0.0,	0.0,	0,	0,	0.0,	0,	0.1509433962264151,	0.017204301075268817,	0.030888030888030885,	[False, False, True, False, False, False, True, True]
0.3,	0.039735099337748346,	0.07017543859649124,	0.11363636363636363,	0.03125,	0.04901960784313725,	0.0,	0.0,	0,	0.0,	0.0,	0,	0.16417910447761194,	0.023655913978494623,	0.041353383458646614,	[True, False, True, False, False, False, True, True]
0.22857142857142856,	0.052980132450331126,	0.08602150537634408,	0.3375,	0.16875,	0.22499999999999998,	0.5,	0.018691588785046728,	0.036036036036036036,	0,	0.0,	0,	0.31092436974789917,	0.07956989247311828,	0.1267123287671233,	[False, True, True, False, False, False, True, True]
0.2571428571428571,	0.059602649006622516,	0.0967741935483871,	0.3559322033898305,	0.13125,	0.1917808219178082,	0.2857142857142857,	0.018691588785046728,	0.03508771929824561,	0.0,	0.0,	0,	0.3106796116504854,	0.06881720430107527,	0.11267605633802817,	[True, True, True, False, False, False, True, True]
0.26262626262626265,	0.3443708609271523,	0.2979942693409742,	0.2879581151832461,	0.34375,	0.31339031339031337,	0.3620689655172414,	0.19626168224299065,	0.2545454545454545,	0.5,	0.0425531914893617,	0.0784313725490196,	0.28824833702882485,	0.27956989247311825,	0.28384279475982527,	[False, False, False, True, False, False, True, True]
0.27956989247311825,	0.3443708609271523,	0.30860534124629074,	0.32748538011695905,	0.35,	0.338368580060423,	0.38636363636363635,	0.1588785046728972,	0.22516556291390727,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.31666666666666665,	0.2860215053763441,	0.30056497175141245,	[True, False, False, True, False, False, True, True]
0.38345864661654133,	0.33774834437086093,	0.35915492957746475,	0.4222222222222222,	0.35625,	0.3864406779661017,	0.358974358974359,	0.1308411214953271,	0.1917808219178082,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.4043887147335423,	0.27741935483870966,	0.32908163265306123,	[False, True, False, True, False, False, True, True]
0.37037037037037035,	0.26490066225165565,	0.3088803088803089,	0.46218487394957986,	0.34375,	0.39426523297491045,	0.3617021276595745,	0.1588785046728972,	0.2207792207792208,	1.0,	0.10638297872340426,	0.1923076923076923,	0.41935483870967744,	0.25161290322580643,	0.3145161290322581,	[True, True, False, True, False, False, True, True]
0.38144329896907214,	0.24503311258278146,	0.2983870967741935,	0.4537037037037037,	0.30625,	0.36567164179104483,	0.4583333333333333,	0.102803738317757,	0.16793893129770993,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.43568464730290457,	0.22580645161290322,	0.29745042492917845,	[False, False, True, True, False, False, True, True]
0.34579439252336447,	0.24503311258278146,	0.2868217054263566,	0.4563106796116505,	0.29375,	0.3574144486692016,	0.4489795918367347,	0.205607476635514,	0.28205128205128205,	0.7777777777777778,	0.14893617021276595,	0.25,	0.4216417910447761,	0.24301075268817204,	0.3083219645293315,	[True, False, True, True, False, False, True, True]
0.42168674698795183,	0.23178807947019867,	0.2991452991452992,	0.4745762711864407,	0.35,	0.4028776978417266,	0.43333333333333335,	0.12149532710280374,	0.18978102189781024,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4609053497942387,	0.24086021505376345,	0.3163841807909605,	[False, True, True, True, False, False, True, True]
0.3854166666666667,	0.24503311258278146,	0.29959514170040485,	0.488,	0.38125,	0.4280701754385965,	0.5,	0.1588785046728972,	0.24113475177304963,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4606741573033708,	0.2645161290322581,	0.3360655737704918,	[True, True, True, True, False, False, True, True]
0.14285714285714285,	0.006622516556291391,	0.012658227848101266,	0.13793103448275862,	0.025,	0.04232804232804233,	0,	0.0,	0,	0,	0.0,	0,	0.1388888888888889,	0.010752688172043012,	0.019960079840319365,	[False, False, False, False, True, False, True, True]
0.3888888888888889,	0.046357615894039736,	0.08284023668639053,	0.17073170731707318,	0.04375,	0.06965174129353234,	0,	0.0,	0,	0,	0.0,	0,	0.23728813559322035,	0.030107526881720432,	0.05343511450381679,	[True, False, False, False, True, False, True, True]
0.47058823529411764,	0.052980132450331126,	0.09523809523809523,	0.2676056338028169,	0.11875,	0.16450216450216446,	0.3333333333333333,	0.028037383177570093,	0.05172413793103448,	0,	0.0,	0,	0.30927835051546393,	0.06451612903225806,	0.10676156583629894,	[False, True, False, False, True, False, True, True]
0.4,	0.06622516556291391,	0.11363636363636365,	0.25,	0.1375,	0.1774193548387097,	0.25,	0.009345794392523364,	0.018018018018018018,	0,	0.0,	0,	0.28205128205128205,	0.07096774193548387,	0.1134020618556701,	[True, True, False, False, True, False, True, True]
0.3018867924528302,	0.10596026490066225,	0.15686274509803924,	0.125,	0.0625,	0.08333333333333333,	0.6,	0.028037383177570093,	0.053571428571428575,	0.0,	0.0,	0,	0.20567375886524822,	0.06236559139784946,	0.0957095709570957,	[False, False, True, False, True, False, True, True]
0.23529411764705882,	0.026490066225165563,	0.047619047619047616,	0.140625,	0.05625,	0.08035714285714285,	0.5,	0.009345794392523364,	0.018348623853211007,	0,	0.0,	0,	0.1686746987951807,	0.030107526881720432,	0.051094890510948905,	[True, False, True, False, True, False, True, True]
0.4074074074074074,	0.0728476821192053,	0.12359550561797752,	0.20192307692307693,	0.13125,	0.1590909090909091,	0.2857142857142857,	0.037383177570093455,	0.06611570247933883,	0.0,	0.0,	0,	0.2465753424657534,	0.07741935483870968,	0.11783960720130934,	[False, True, True, False, True, False, True, True]
0.38235294117647056,	0.08609271523178808,	0.14054054054054055,	0.21782178217821782,	0.1375,	0.1685823754789272,	0.36363636363636365,	0.037383177570093455,	0.06779661016949151,	0,	0.0,	0,	0.2671232876712329,	0.08387096774193549,	0.12765957446808512,	[True, True, True, False, True, False, True, True]
0.27472527472527475,	0.16556291390728478,	0.2066115702479339,	0.47572815533980584,	0.30625,	0.3726235741444867,	0.631578947368421,	0.11214953271028037,	0.1904761904761905,	1.0,	0.14893617021276595,	0.25925925925925924,	0.42272727272727273,	0.2,	0.27153284671532846,	[False, False, False, True, True, False, True, True]
0.3076923076923077,	0.07947019867549669,	0.12631578947368421,	0.4864864864864865,	0.225,	0.3076923076923077,	0.5714285714285714,	0.11214953271028037,	0.18749999999999997,	1.0,	0.14893617021276595,	0.25925925925925924,	0.475177304964539,	0.14408602150537633,	0.2211221122112211,	[True, False, False, True, True, False, True, True]
0.4367816091954023,	0.25165562913907286,	0.31932773109243695,	0.45038167938931295,	0.36875,	0.4054982817869416,	0.5277777777777778,	0.17757009345794392,	0.26573426573426573,	1.0,	0.14893617021276595,	0.25925925925925924,	0.47126436781609193,	0.2645161290322581,	0.33884297520661155,	[False, True, False, True, True, False, True, True]
0.41935483870967744,	0.08609271523178808,	0.14285714285714285,	0.4787234042553192,	0.28125,	0.3543307086614173,	0.5625,	0.16822429906542055,	0.2589928057553957,	1.0,	0.1276595744680851,	0.22641509433962262,	0.5030674846625767,	0.17634408602150536,	0.2611464968152866,	[True, True, False, True, True, False, True, True]
0.39436619718309857,	0.18543046357615894,	0.2522522522522523,	0.46534653465346537,	0.29375,	0.36015325670498083,	0.41379310344827586,	0.11214953271028037,	0.17647058823529413,	0.875,	0.14893617021276595,	0.25454545454545446,	0.44976076555023925,	0.2021505376344086,	0.27893175074183973,	[False, False, True, True, True, False, True, True]
0.3804347826086957,	0.23178807947019867,	0.2880658436213992,	0.43333333333333335,	0.325,	0.37142857142857144,	0.509090909090909,	0.2616822429906542,	0.34567901234567894,	1.0,	0.14893617021276595,	0.25925925925925924,	0.44525547445255476,	0.2623655913978495,	0.3301759133964817,	[True, False, True, True, True, False, True, True]
0.43010752688172044,	0.26490066225165565,	0.32786885245901637,	0.453781512605042,	0.3375,	0.3870967741935484,	0.5714285714285714,	0.14953271028037382,	0.237037037037037,	0.875,	0.14893617021276595,	0.25454545454545446,	0.4717741935483871,	0.25161290322580643,	0.3281907433380084,	[False, True, True, True, True, False, True, True]
0.40594059405940597,	0.271523178807947,	0.32539682539682546,	0.4608695652173913,	0.33125,	0.38545454545454544,	0.6428571428571429,	0.16822429906542055,	0.26666666666666666,	1.0,	0.14893617021276595,	0.25925925925925924,	0.47410358565737054,	0.25591397849462366,	0.3324022346368715,	[True, True, True, True, True, False, True, True]
0.5714285714285714,	0.026490066225165563,	0.05063291139240506,	0.08823529411764706,	0.01875,	0.03092783505154639,	0.8,	0.037383177570093455,	0.07142857142857142,	0,	0.0,	0,	0.2391304347826087,	0.023655913978494623,	0.043052837573385516,	[False, False, False, False, False, True, True, True]
0.7,	0.046357615894039736,	0.08695652173913043,	0.08108108108108109,	0.01875,	0.030456852791878174,	0.4444444444444444,	0.037383177570093455,	0.06896551724137931,	0,	0.0,	0,	0.25,	0.030107526881720432,	0.05374280230326296,	[True, False, False, False, False, True, True, True]
0.6086956521739131,	0.09271523178807947,	0.16091954022988506,	0.2222222222222222,	0.1,	0.13793103448275865,	1.0,	0.037383177570093455,	0.07207207207207207,	0,	0.0,	0,	0.3434343434343434,	0.07311827956989247,	0.12056737588652482,	[False, True, False, False, False, True, True, True]
0.6666666666666666,	0.052980132450331126,	0.09815950920245399,	0.21739130434782608,	0.0625,	0.09708737864077671,	1.0,	0.037383177570093455,	0.07207207207207207,	0,	0.0,	0,	0.3548387096774194,	0.047311827956989246,	0.08349146110056926,	[True, True, False, False, False, True, True, True]
0.5333333333333333,	0.052980132450331126,	0.09638554216867469,	0.15384615384615385,	0.075,	0.10084033613445378,	0.5,	0.056074766355140186,	0.10084033613445378,	0.0,	0.0,	0,	0.23853211009174313,	0.05591397849462366,	0.09059233449477352,	[False, False, True, False, False, True, True, True]
0.5416666666666666,	0.08609271523178808,	0.14857142857142858,	0.15625,	0.0625,	0.08928571428571429,	0.5,	0.056074766355140186,	0.10084033613445378,	0.0,	0.0,	0,	0.27884615384615385,	0.06236559139784946,	0.10193321616871703,	[True, False, True, False, False, True, True, True]
0.4,	0.06622516556291391,	0.11363636363636365,	0.27184466019417475,	0.175,	0.21292775665399238,	0.5384615384615384,	0.06542056074766354,	0.11666666666666665,	0.0,	0.0,	0,	0.31690140845070425,	0.0967741935483871,	0.14827018121911037,	[False, True, True, False, False, True, True, True]
