mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5081967213114754,	0.2052980132450331,	0.29245283018867924,	0.1728395061728395,	0.175,	0.17391304347826086,	0.45454545454545453,	0.09345794392523364,	0.1550387596899225,	0,	0.0,	0,	0.2816326530612245,	0.14838709677419354,	0.19436619718309858,	[False, True, False, False, False, True, False, False]
0.4307692307692308,	0.18543046357615894,	0.25925925925925924,	0.1797752808988764,	0.2,	0.18934911242603553,	0.4,	0.09345794392523364,	0.1515151515151515,	0,	0.0,	0,	0.26119402985074625,	0.15053763440860216,	0.19099590723055934,	[True, True, False, False, False, True, False, False]
0.47619047619047616,	0.1986754966887417,	0.2803738317757009,	0.1836734693877551,	0.16875,	0.1758957654723127,	0.3181818181818182,	0.06542056074766354,	0.10852713178294572,	0.0,	0.0,	0,	0.26556016597510373,	0.13763440860215054,	0.1813031161473088,	[False, False, True, False, False, True, False, False]
0.4375,	0.046357615894039736,	0.08383233532934131,	0.1881720430107527,	0.21875,	0.20231213872832368,	0.19444444444444445,	0.06542056074766354,	0.0979020979020979,	0,	0.0,	0,	0.20588235294117646,	0.1053763440860215,	0.13940256045519203,	[True, False, True, False, False, True, False, False]
0.4675324675324675,	0.23841059602649006,	0.3157894736842105,	0.24401913875598086,	0.31875,	0.2764227642276423,	0.3548387096774194,	0.102803738317757,	0.15942028985507245,	0.0,	0.0,	0,	0.3052959501557632,	0.210752688172043,	0.24936386768447838,	[False, True, True, False, False, True, False, False]
0.3191489361702128,	0.09933774834437085,	0.1515151515151515,	0.19834710743801653,	0.15,	0.17081850533807827,	0.25925925925925924,	0.06542056074766354,	0.1044776119402985,	0.0,	0.0,	0,	0.233502538071066,	0.0989247311827957,	0.13897280966767372,	[True, True, True, False, False, True, False, False]
0.32065217391304346,	0.39072847682119205,	0.3522388059701492,	0.3626943005181347,	0.4375,	0.396600566572238,	0.3894736842105263,	0.34579439252336447,	0.3663366336633663,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.35876288659793815,	0.3741935483870968,	0.3663157894736842,	[False, False, False, True, False, True, False, False]
0.31794871794871793,	0.4105960264900662,	0.3583815028901734,	0.3769633507853403,	0.45,	0.41025641025641024,	0.38,	0.35514018691588783,	0.36714975845410636,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.36072144288577157,	0.3870967741935484,	0.3734439834024897,	[True, False, False, True, False, True, False, False]
0.3157894736842105,	0.3576158940397351,	0.33540372670807456,	0.39,	0.4875,	0.43333333333333335,	0.39215686274509803,	0.37383177570093457,	0.3827751196172249,	0.47368421052631576,	0.19148936170212766,	0.2727272727272727,	0.3678861788617886,	0.38924731182795697,	0.3782654127481713,	[False, True, False, True, False, True, False, False]
0.3157894736842105,	0.31788079470198677,	0.31683168316831684,	0.42021276595744683,	0.49375,	0.4540229885057471,	0.3977272727272727,	0.32710280373831774,	0.358974358974359,	0.3333333333333333,	0.14893617021276595,	0.20588235294117646,	0.37639198218262804,	0.3634408602150538,	0.3698030634573304,	[True, True, False, True, False, True, False, False]
0.3355263157894737,	0.33774834437086093,	0.33663366336633666,	0.3977272727272727,	0.4375,	0.4166666666666667,	0.35802469135802467,	0.27102803738317754,	0.30851063829787234,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.375886524822695,	0.3419354838709677,	0.3581081081081081,	[False, False, True, True, False, True, False, False]
0.2922077922077922,	0.2980132450331126,	0.29508196721311475,	0.40384615384615385,	0.39375,	0.3987341772151899,	0.358695652173913,	0.308411214953271,	0.3316582914572864,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.3583535108958838,	0.31827956989247314,	0.3371298405466971,	[True, False, True, True, False, True, False, False]
0.3700787401574803,	0.31125827814569534,	0.33812949640287765,	0.4,	0.3875,	0.3936507936507937,	0.35,	0.2616822429906542,	0.29946524064171126,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.38666666666666666,	0.3118279569892473,	0.34523809523809523,	[False, True, True, True, False, True, False, False]
0.33884297520661155,	0.271523178807947,	0.3014705882352941,	0.40437158469945356,	0.4625,	0.4314868804664723,	0.3111111111111111,	0.2616822429906542,	0.2842639593908629,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.37192118226600984,	0.3247311827956989,	0.3467278989667049,	[True, True, True, True, False, True, False, False]
0.32075471698113206,	0.11258278145695365,	0.16666666666666666,	0.26436781609195403,	0.2875,	0.2754491017964072,	0.29411764705882354,	0.04672897196261682,	0.08064516129032258,	0.0,	0.0,	0,	0.27419354838709675,	0.14623655913978495,	0.19074333800841514,	[False, False, False, False, True, True, False, False]
0.30357142857142855,	0.11258278145695365,	0.1642512077294686,	0.26993865030674846,	0.275,	0.2724458204334365,	0.26666666666666666,	0.037383177570093455,	0.06557377049180327,	0,	0.0,	0,	0.2777777777777778,	0.13978494623655913,	0.1859799713876967,	[True, False, False, False, True, True, False, False]
0.4594594594594595,	0.2251655629139073,	0.3022222222222222,	0.28415300546448086,	0.325,	0.30320699708454807,	0.24242424242424243,	0.07476635514018691,	0.11428571428571427,	0,	0.0,	0,	0.32413793103448274,	0.2021505376344086,	0.24900662251655628,	[False, True, False, False, True, True, False, False]
0.4461538461538462,	0.19205298013245034,	0.26851851851851855,	0.29213483146067415,	0.325,	0.3076923076923077,	0.22580645161290322,	0.06542056074766354,	0.10144927536231883,	0,	0.0,	0,	0.32116788321167883,	0.18924731182795698,	0.23815967523680648,	[True, True, False, False, True, True, False, False]
0.39325842696629215,	0.23178807947019867,	0.29166666666666663,	0.23563218390804597,	0.25625,	0.24550898203592814,	0.23809523809523808,	0.09345794392523364,	0.1342281879194631,	0.0,	0.0,	0,	0.28013029315960913,	0.18494623655913978,	0.22279792746113988,	[False, False, True, False, True, True, False, False]
0.30851063829787234,	0.19205298013245034,	0.236734693877551,	0.21323529411764705,	0.18125,	0.19594594594594592,	0.23404255319148937,	0.102803738317757,	0.14285714285714285,	0,	0.0,	0,	0.2490974729241877,	0.14838709677419354,	0.18598382749326145,	[True, False, True, False, True, True, False, False]
0.4175824175824176,	0.25165562913907286,	0.3140495867768595,	0.2727272727272727,	0.31875,	0.29394812680115273,	0.2037037037037037,	0.102803738317757,	0.13664596273291926,	0.0,	0.0,	0,	0.2994011976047904,	0.21505376344086022,	0.2503128911138924,	[False, True, True, False, True, True, False, False]
0.4177215189873418,	0.2185430463576159,	0.28695652173913044,	0.2658959537572254,	0.2875,	0.2762762762762762,	0.19736842105263158,	0.14018691588785046,	0.16393442622950818,	0,	0.0,	0,	0.2865853658536585,	0.2021505376344086,	0.23707440100882723,	[True, True, True, False, True, True, False, False]
