mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.43333333333333335,	0.3443708609271523,	0.3837638376383764,	0.2425249169435216,	0.45625,	0.3167028199566161,	0.26956521739130435,	0.2897196261682243,	0.2792792792792793,	0,	0.0,	0,	0.291044776119403,	0.33548387096774196,	0.3116883116883117,	[True, True, True, False, False, False, False, False, True, False, True, True, False]
0.3034825870646766,	0.40397350993377484,	0.3465909090909091,	0.3710691823899371,	0.36875,	0.3699059561128526,	0.2595419847328244,	0.3177570093457944,	0.2857142857142857,	1.0,	0.14893617021276595,	0.25925925925925924,	0.3232931726907631,	0.34623655913978496,	0.33437175493250265,	[False, False, False, True, False, False, False, False, True, False, True, True, False]
0.30978260869565216,	0.37748344370860926,	0.34029850746268653,	0.36585365853658536,	0.375,	0.3703703703703704,	0.2727272727272727,	0.2803738317757009,	0.27649769585253453,	1.0,	0.14893617021276595,	0.25925925925925924,	0.3311827956989247,	0.3311827956989247,	0.3311827956989247,	[True, False, False, True, False, False, False, False, True, False, True, True, False]
0.39869281045751637,	0.40397350993377484,	0.40131578947368424,	0.30434782608695654,	0.48125,	0.3728813559322034,	0.28125,	0.3364485981308411,	0.30638297872340425,	1.0,	0.14893617021276595,	0.25925925925925924,	0.3345656192236599,	0.38924731182795697,	0.3598409542743539,	[False, True, False, True, False, False, False, False, True, False, True, True, False]
0.3933333333333333,	0.39072847682119205,	0.39202657807308966,	0.28870292887029286,	0.43125,	0.3458646616541354,	0.2926829268292683,	0.3364485981308411,	0.31304347826086953,	1.0,	0.14893617021276595,	0.25925925925925924,	0.32947976878612717,	0.36774193548387096,	0.3475609756097561,	[True, True, False, True, False, False, False, False, True, False, True, True, False]
0.33774834437086093,	0.33774834437086093,	0.33774834437086093,	0.3284313725490196,	0.41875,	0.36813186813186816,	0.32407407407407407,	0.32710280373831774,	0.3255813953488371,	0.7777777777777778,	0.14893617021276595,	0.25,	0.3389830508474576,	0.34408602150537637,	0.3415154749199573,	[False, False, True, True, False, False, False, False, True, False, True, True, False]
0.32298136645962733,	0.3443708609271523,	0.33333333333333337,	0.3383838383838384,	0.41875,	0.3743016759776537,	0.3211009174311927,	0.32710280373831774,	0.32407407407407407,	0.7777777777777778,	0.14893617021276595,	0.25,	0.33752620545073375,	0.34623655913978496,	0.3418259023354565,	[True, False, True, True, False, False, False, False, True, False, True, True, False]
0.4726027397260274,	0.45695364238410596,	0.46464646464646464,	0.31048387096774194,	0.48125,	0.37745098039215685,	0.2992125984251969,	0.35514018691588783,	0.32478632478632485,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.3602251407129456,	0.4129032258064516,	0.3847695390781563,	[False, True, True, True, False, False, False, False, True, False, True, True, False]
0.42857142857142855,	0.4768211920529801,	0.45141065830721,	0.31666666666666665,	0.475,	0.37999999999999995,	0.2814814814814815,	0.35514018691588783,	0.3140495867768595,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.34954954954954953,	0.4172043010752688,	0.3803921568627451,	[True, True, True, True, False, False, False, False, True, False, True, True, False]
0.18,	0.059602649006622516,	0.08955223880597014,	0.2,	0.46875,	0.28037383177570097,	0.189873417721519,	0.14018691588785046,	0.16129032258064516,	0.0,	0.0,	0,	0.19603960396039605,	0.2129032258064516,	0.2041237113402062,	[False, False, False, False, True, False, False, False, True, False, True, True, False]
0.2222222222222222,	0.07947019867549669,	0.11707317073170731,	0.20108695652173914,	0.4625,	0.2803030303030303,	0.18604651162790697,	0.14953271028037382,	0.16580310880829013,	0.0,	0.0,	0,	0.20039292730844793,	0.21935483870967742,	0.20944558521560575,	[True, False, False, False, True, False, False, False, True, False, True, True, False]
0.38461538461538464,	0.33112582781456956,	0.3558718861209964,	0.2268370607028754,	0.44375,	0.3002114164904862,	0.24444444444444444,	0.308411214953271,	0.27272727272727276,	0.0,	0.0,	0,	0.2655172413793103,	0.3311827956989247,	0.29473684210526313,	[False, True, False, False, True, False, False, False, True, False, True, True, False]
0.3380281690140845,	0.31788079470198677,	0.32764505119453924,	0.22123893805309736,	0.46875,	0.30060120240480964,	0.24166666666666667,	0.27102803738317754,	0.25550660792951546,	0.0,	0.0,	0,	0.25249169435215946,	0.32688172043010755,	0.2849109653233365,	[True, True, False, False, True, False, False, False, True, False, True, True, False]
0.25925925925925924,	0.18543046357615894,	0.21621621621621623,	0.21851851851851853,	0.36875,	0.2744186046511628,	0.25,	0.2897196261682243,	0.2683982683982684,	0.0,	0.0,	0,	0.23228346456692914,	0.2537634408602151,	0.2425488180883864,	[False, False, True, False, True, False, False, False, True, False, True, True, False]
0.26126126126126126,	0.19205298013245034,	0.22137404580152673,	0.21851851851851853,	0.36875,	0.2744186046511628,	0.25203252032520324,	0.2897196261682243,	0.26956521739130435,	0.0,	0.0,	0,	0.2337917485265226,	0.25591397849462366,	0.24435318275154005,	[True, False, True, False, True, False, False, False, True, False, True, True, False]
